sampleID,anti_oxidant,oxidation,H2O,zddp,soot,fuel_dilution,mixture,NLGI,contam
13231,14,0,347,NULL,NULL,NULL,NULL,NULL,0.673
13235,9,0,362,NULL,NULL,NULL,NULL,NULL,0.916
13240,1,0,345,NULL,NULL,NULL,NULL,NULL,1.309
13434,30,0,337,NULL,NULL,NULL,NULL,NULL,0.945
13459,45,0,450,NULL,NULL,NULL,NULL,NULL,1.225
13462,43,0,432,NULL,NULL,NULL,NULL,NULL,1.017
13513,0,0,177,NULL,NULL,NULL,NULL,NULL,5.468
13517,10,0,155,NULL,NULL,NULL,NULL,NULL,6.659
13521,0,0,238,NULL,NULL,NULL,NULL,NULL,5.387
13550,5,0,173,NULL,NULL,NULL,NULL,NULL,0.722
13553,8,0,125,NULL,NULL,NULL,NULL,NULL,0.796
13576,81,0,103,NULL,NULL,NULL,NULL,NULL,0.737
13577,28,0,114,NULL,NULL,NULL,NULL,NULL,0.865
13581,27,0,211,NULL,NULL,NULL,NULL,NULL,0.776
13591,0,0,96,NULL,NULL,NULL,NULL,NULL,0.692
13623,0,1,134,NULL,NULL,NULL,NULL,NULL,1.043
13625,3,0,84,NULL,NULL,NULL,NULL,NULL,0.882
13640,13,0,95,NULL,NULL,NULL,NULL,NULL,0.86
13642,76,0,99,NULL,NULL,NULL,NULL,NULL,0.728
13646,103,0,277,NULL,NULL,NULL,NULL,NULL,0.822
13649,66,0,382,NULL,NULL,NULL,NULL,NULL,0.835
13651,15,0,159,NULL,NULL,NULL,NULL,NULL,0.73
13655,18,0,439,NULL,NULL,NULL,NULL,NULL,0.561
13657,3,0,546,NULL,NULL,NULL,NULL,NULL,0.654
13663,11,0,332,NULL,NULL,NULL,NULL,NULL,0.814
13665,2,0,322,NULL,NULL,NULL,NULL,NULL,0.677
13672,12,0,285,NULL,NULL,NULL,NULL,NULL,0.761
13673,2,0,234,NULL,NULL,NULL,NULL,NULL,0.781
13679,30,0,275,NULL,NULL,NULL,NULL,NULL,0.768
13683,1,0,198,NULL,NULL,NULL,NULL,NULL,0.72
13706,74,0,123,NULL,NULL,NULL,NULL,NULL,0.683
13711,25,0,177,NULL,NULL,NULL,NULL,NULL,0.716
13742,28,0,194,NULL,NULL,NULL,NULL,NULL,0.913
13770,32,0,65,NULL,NULL,NULL,NULL,NULL,0.638
13783,19,0,144,NULL,NULL,NULL,NULL,NULL,0.716
13795,3,0,292,NULL,NULL,NULL,NULL,NULL,0.674
13797,3,0,239,NULL,NULL,NULL,NULL,NULL,3.567
13804,3,0,271,NULL,NULL,NULL,NULL,NULL,0.777
13925,6,0,314,NULL,NULL,NULL,NULL,NULL,3.907
13992,7,0,320,NULL,NULL,NULL,NULL,NULL,0.635
14052,7,0,73,NULL,NULL,NULL,NULL,NULL,0.731
14055,41,0,65,NULL,NULL,NULL,NULL,NULL,0.71
14057,68,0,139,NULL,NULL,NULL,NULL,NULL,0.676
14059,45,0,134,NULL,NULL,NULL,NULL,NULL,0.827
14061,44,0,21,NULL,NULL,NULL,NULL,NULL,0.749
14064,0,0,0,NULL,NULL,NULL,NULL,NULL,1.483
14187,88,0,88,NULL,NULL,NULL,NULL,NULL,0.59
14190,31,0,63,NULL,NULL,NULL,NULL,NULL,0.632
14193,4,0,72,NULL,NULL,NULL,NULL,NULL,0.775
14194,7,0,101,NULL,NULL,NULL,NULL,NULL,1.525
14276,0,0,123,NULL,NULL,NULL,NULL,NULL,0.834
14279,37,0,89,NULL,NULL,NULL,NULL,NULL,0.647
14592,17,0,589,NULL,NULL,NULL,NULL,NULL,4.879
14697,63,0,154,NULL,NULL,NULL,NULL,NULL,0.791
14700,81,0,90,NULL,NULL,NULL,NULL,NULL,0.838
14777,25,0,54,NULL,NULL,NULL,NULL,NULL,0.78
14830,26,0,102,NULL,NULL,NULL,NULL,NULL,0.85
14832,3,0,107,NULL,NULL,NULL,NULL,NULL,0.924
14834,5,0,111,NULL,NULL,NULL,NULL,NULL,0.775
14837,6,0,164,NULL,NULL,NULL,NULL,NULL,0.766
14840,2,0,101,NULL,NULL,NULL,NULL,NULL,0.631
14845,3,0,193,NULL,NULL,NULL,NULL,NULL,0.349
14862,1,0,77,NULL,NULL,NULL,NULL,NULL,0.586
14864,1,0,0,NULL,NULL,NULL,NULL,NULL,0.712
14866,13,0,0,NULL,NULL,NULL,NULL,NULL,1.904
14870,25,0,44,NULL,NULL,NULL,NULL,NULL,0.678
14873,3,0,57,NULL,NULL,NULL,NULL,NULL,0.635
14912,13,0,0,NULL,NULL,NULL,NULL,NULL,0.475
14913,14,0,0,NULL,NULL,NULL,NULL,NULL,0.873
14916,9,0,0,NULL,NULL,NULL,NULL,NULL,0.573
14919,81,1,0,NULL,NULL,NULL,NULL,NULL,0.684
14923,19,0,0,NULL,NULL,NULL,NULL,NULL,0.595
14927,3,0,0,NULL,NULL,NULL,NULL,NULL,0.44
14928,0,1,0,NULL,NULL,NULL,NULL,NULL,0.813
