ID,group_name,valueat,tagNumber,component,location,exclude,excluded_on,fname
3900,"govenor speed regulator                 ",199,1MDGBH01,161,009,NULL,NULL,
4762,"Water Rec - Rake Gear                   ",234,AWFCNX01C,177,009,NULL,NULL,
3124,"V - 5AB/29 gear                         ",70,1JSGNUV0034,097,040,NULL,NULL,NULL
3212,"FUEL CRANE HOIST/TROLLEY                ",179,3MZFNG02,169,007,NULL,NULL,
5192,"hydraulic systems                       ",257,1MZCNG01,144,040,NULL,NULL,NULL
3136,"HPSI pmp IB                             ",133,3MSIBP02,001,001,NULL,NULL,NULL
3113,"V - SMB-00 LS 8910 mild                 ",56,2JAFBHV0030,099,040,NULL,NULL,NULL
4637,"control oil pump                        ",228,1MCONP01A,001,063,NULL,NULL,
5297,"SHC 630 as gearcase                     ",235,1MZCNG01,168,007,NULL,NULL,NULL
3913,"EW Pmp Brgs                             ",27,2MEWBP01,001,002,NULL,NULL,NULL
2997,"chem addition                           ",167,2MSCNP09,138,009,NULL,NULL,
5159,"Nuc Cooling Mtr                         ",138,1MNCNP01B,002,001,NULL,NULL,NULL
4466,"V - SMB-000 pinion 8910                 ",93,2JRDAUV0023,002,066,NULL,NULL,NULL
3000,"chem addition                           ",167,2MSCNP14,138,009,NULL,NULL,
3002,"aux compressor                          ",168,AMZYNE10,175,009,NULL,NULL,NULL
4843,"Alvania grease Main gearbox             ",208,3JNCNUV0099,097,040,NULL,NULL,NULL
5135,"Chem Addition                           ",18,1MSCNP15,001,238,NULL,NULL,NULL
3006,"Turbine Out                             ",137,1MLONT01,016,011,NULL,NULL,NULL
3795,"Water Rec                               ",195,AWFCNQ01A,177,009,NULL,NULL,
3360,"V - SMB-000 pinion                      ",96,2JGSNHV0005,002,066,NULL,NULL,NULL
3037,"Circ Wtr Mtrs                           ",4,3MCWNP01A,002,003,NULL,NULL,NULL
2691,"Turbine Out                             ",137,2MLONT01,016,011,NULL,NULL,
2692,"Turbine Out                             ",137,3MLONT01,016,011,NULL,NULL,
2736,"Turb Cool Mtr                           ",141,2MTCNP01A,002,001,NULL,NULL,
5129,"POP Up-Tellus                           ",253,AAZYNDPFB04,138,238,NULL,NULL,NULL
5161,"SG snubbers                             ",255,2MRCEP01S,017,176,NULL,NULL,NULL
2696,"Nuc Cooling Mtr                         ",138,1MNCNP01B,002,002,NULL,NULL,
2698,"Nuc Cooling Mtr                         ",138,2MNCNP01A,002,002,NULL,NULL,
2699,"Nuc Cooling Mtr                         ",138,2MNCNP01B,002,001,NULL,NULL,
4548,"V - MT SMB-2 Pinion                     ",58,2JMTNHV0329B,002,066,NULL,NULL,NULL
2702,"Nuc Cooling Mtr                         ",138,3MNCNP01A,002,002,NULL,NULL,
2703,"Nuc Cooling Mtr                         ",138,3MNCNP01B,002,001,NULL,NULL,
5315,"fuel crane dorris reducer               ",178,1MZFNG02,202,007,NULL,NULL,NULL
4093,"Crane gearbox with Omala 320            ",181,-2MZFNG02,261,007,NULL,NULL,NULL
4396,"V - SB-3 pinion 8910                    ",108,3JSIAUV0635,002,066,NULL,NULL,NULL
2780,"AR Mtr Bearings                         ",144,1MARNP01A,002,001,NULL,NULL,NULL
2781,"AR Mtr Bearings                         ",144,1MARNP01A,002,002,NULL,NULL,
2782,"CT Mtr Bearings                         ",145,1MCWNA01B,002,002,NULL,NULL,NULL
2783,"CT Mtr Bearings                         ",145,1MCWNA01B,002,001,NULL,NULL,
2834,"Cont. Spray Mtr Lower                   ",150,2MSIAP03,002,004,NULL,NULL,
2897,"V - 11NAZ1/ (86&21) - Gear              ",63,1JNCNHV0485,097,040,NULL,NULL,NULL
2857,"Main Centrifuge                         ",155,3MOSNF01,031,009,NULL,NULL,
2861,"Hydra Baler                             ",156,3NSRNM01,148,009,NULL,NULL,
3550,"MSIV FWIV                               ",72,3JSGBUV0137,005,009,NULL,NULL,NULL
2883,"RCP Snubber                             ",35,1MRCEP01S,017,167,NULL,NULL,NULL
