ID,testID,Na,Mo,Mg,P,B,H,Cr,Ca,Ni,Ag,Cu,Sn,Al,Mn,Pb,Fe,Si,Ba,Sb,Zn,trialDate,trialNum
22276,40,4,0,2,5,0,4646,0,9,0,0,1,0,0,0,0,51,10,10,NULL,6,2002-12-12 00:00:00.000,1
22339,30,2,0,0,160,8,7200,0,8,0,0,4,0,0,0,0,2,0,0,NULL,16,2002-12-13 00:00:00.000,1
22340,30,1,0,0,3,0,7382,0,9,0,0,0,0,0,0,0,4,3,0,NULL,1,2002-12-13 00:00:00.000,1
22341,30,0,0,0,124,12,7160,0,17,0,0,0,0,0,0,0,14,1,0,NULL,1,2002-12-13 00:00:00.000,1
22389,30,230,44,300,1556,18,18990,5,784,10,2,1447,59,3,4,25,3174,347,87,NULL,2399,2003-04-29 00:00:00.000,1
22390,30,1,73,230,1006,99,7986,1,1664,0,0,1,0,1,0,0,3,3,0,NULL,1131,2002-12-19 00:00:00.000,1
22391,30,8,86,67,1033,131,8082,0,1781,0,0,7,3,1,0,18,3,4,0,NULL,1171,2002-12-19 00:00:00.000,1
22392,30,0,0,0,0,0,8397,0,0,0,0,0,0,0,0,0,0,2,0,NULL,1,2002-12-19 00:00:00.000,1
22366,30,4,0,7,185,0,8057,0,253,0,0,11,0,25,1,0,16,6,0,NULL,46,2003-01-10 00:00:00.000,1
22367,30,2,0,1,160,29,8488,0,41,1,0,40,0,3,0,0,3,1,0,NULL,14,2002-12-19 00:00:00.000,1
22368,30,3,0,2,272,24,8558,0,18,0,0,19,0,0,1,0,2,2,0,NULL,30,2002-12-19 00:00:00.000,1
22369,30,0,0,0,0,0,8371,0,0,0,0,0,0,0,0,2,0,5,0,NULL,0,2002-12-19 00:00:00.000,1
22371,30,1,74,247,1001,100,7929,7,1728,0,0,2,0,1,0,0,6,3,0,NULL,1153,2002-12-19 00:00:00.000,1
22372,30,0,0,0,2,0,8508,0,1,0,0,0,0,0,0,0,0,4,0,NULL,1,2002-12-19 00:00:00.000,1
